Categoría,Nombre Api,Nombre producto,Descripción,Palabras claves,Link,x-ibm-name,popular
Desembolso,Sufi Loan Disbursement Disbursements,Sufi_Loan_Disbursement,Esta API permite realizar el desembolso de créditos que fueron gestionados con Sufi,"Desembolso,SufiLoanDisbursementDisbursements,creditos,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_disbursement/apis/sufiloandisbursementdisbursements_v1/,disbursements,no
Desembolso,Consumer Loan Sufi Disbursement,Consumer_Loan_Sufi_Disbursement,Permite realizar el desembolso automático del dinero de un crédito rotativo que ya se encuentra aprobado y listo para hacer su desembolso en línea,"privada,desembolso,rotativo,ConsumerLoanSufiDisbursement,automatico,credito",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/consumer_loan_sufi_privada/apis/consumerloansufidisbursement_v2/,disbursement,no
Simulacion,Underwriting Insurance Vehicle,Underwriting_Insurance,Ofrece a los clientes la posibilidad de poder cotizar un seguro para vehículos por medio de Willis Web,"Simulacion,UnderwritingInsuranceVehicle,cotizar,Willis Web,Seguro,vehiculo,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/underwriting/
Modificar,Sufi Loan Modification Management,Sufi_Loan_Modification,Permite realizar modificaciones o cambios a las condiciones e información de los créditos de Sufi,"Modificar,Actualizacion,creditos,condiciones,SufiLoanModificationManagement,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_modification/apis/sufiloanmodificationmanagement_v1/,sufi_loan_modification,si
Gestion,Loan Application,Loans_Sufi_Study_Consume,Tiene capacidades relacionadas con la inicialización de un proceso de estudio de crédito de consumo,"Gestion,credito,estudio,consumo,LoanApplication,inicialización,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_study_consume/apis/loanapplication_v3/,loan_application,si
Gestion,Loan Additional Information,Loans_Sufi_Study_Additional,Ofrece a los clientes el poder tener bajo su propia experiencia la autogestión de un estudio de crédito de consumo,"Autogestion,credito,consumo,experiencia,LoanAdditionalInformation,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_study_consume/apis/loanadditionalinformation_v3/,loan_additional_information,si
Consulta,Loan Application Information,Loans_Application_Info,Permite el registro del cliente y consultar la información,"registro,cliente,consulta,gestion,LoanApplicationInformation,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_study_consume/apis/loanapplicationinformation_v3/,loan_application_information,si
Consulta,Loans Sufi Catalogs Master Reference,Loans_Sufi_Catalogs,Permite la consulta de los catálogos maestros,"consulta,catalogos maestros,LoansSufiCatalogsMasterReference,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_catalogs/apis/loanssuficatalogsmasterreference_v3/,sufi_master_catalogs_information,no
Gestion,Vehicle Credit Study Final Study,Vehicle_Credit_Study_Final,API que permite realizar el registro de la información para el estudio final,"estudio final,registro,vehiculo,VehicleCreditStudyFinalStudy,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/vehicle_credit_study/apis/vehiclecreditstudyfinalstudy_v3/
Gestion,VehicleCreditStudyManualStudy,Vehicle_Credit_Study_Manual,Permite realizar el estudio de crédito de vehículos de SUFI,"estudio,credito vehiculo,gestion,manual,vehicle,VehicleCreditStudyManualStudy,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/vehicle_credit_study/apis/vehiclecreditstudymanualstudy_v3/
Gestion,VehicleCreditStudyPreliminaryStudy,Vehicle_Credit_Study_Preliminary,API que permite realizar el registro de la información para el estudio preliminar,"estudio,preliminar,publica,vehicle,vehiculo,VehicleCreditStudyPreliminaryStudy",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/vehicle_credit_study/apis/vehiclecreditstudypreliminarystudy_v3/
Consulta,SufiLoanPaymentExecution,Sufi_Loan_Payment,Realizar la gestión de pagos del cliente a sus créditos,"Gestion,pago,SufiLoanPaymentExecution,creditos,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_payment/apis/sufiloanpaymentexecution_v2/,payment_execution,si
Simulacion,SufiLoanCalculatorInstallment,Sufi_Loan_Calculator,Financiación de un crédito con Sufi a través de la simulación,"SufiLoanCalculatorInstallment,simulacion,financiacion,calculo,cuotas,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_calculator/apis/sufiloancalculatorinstallment_v1/,installments,no
Consulta,PaymentInformation,Consumer_Loan_Payment_Info,Permite consultar la información de los créditos asociados a un cliente de Sufi,"Consulta,informacion,credito,cliente,PaymentInformation,pagos,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/consumer_loan_sufi/apis/paymentinformation_v1/,payment_information,si
Registrar,Sufi Credit payment order initiation,Sufi_Credit_Payment,Permite iniciar la orden de pago de créditos,"Pago,Orden,SufiCredit,payment_order_initiation,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_credit_payment/apis/paymentorderinitiation_v1/,payment_order_initiation,no
Consulta,Sufi Party Routing Profile,Sufi_Party_Routing,Perfil de enrutamiento para enrolamiento,"Enrolamiento,Perfil,Routing,routing_profile_management,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_party_routing/apis/management_v1/,routing_profile_management,no
Gestion,Sufi Vehicle Credit Eligibility Assessment,Sufi_Vehicle_Eligibility,Estudio de crédito para consumidores externos,"Estudio,Credito,Vehiculo,elegibility_assessment,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_vehicle_eligibility/apis/assessment_v1/,elegibility_assessment,no
